country,date,account_cnt,total_country_account_cnt,rank_total_country_account_cnt,send_interval,is_verified,is_unsubscribed,sent_msg,total_country_sent_cnt,rank_total_country_sent_cnt,open_msg,click_msg
United States,2021-01-19,3,12384,1,7,1,0,23,233503,1,13,2
Singapore,2020-12-29,4,375,10,1,1,0,91,8899,10,15,4
United Kingdom,2021-01-17,0,859,4,1,0,1,7,15748,4,0,0
United States,2020-12-21,43,12384,1,1,0,0,36,233503,1,11,0
France,2021-01-04,3,553,5,1,1,0,96,9520,6,38,4
India,2020-11-19,4,2687,2,1,1,1,20,51189,2,8,0
Italy,2021-02-05,0,386,9,7,1,1,5,7897,11,0,0
Italy,2020-12-24,0,386,9,1,1,1,26,7897,11,8,2
Germany,2020-11-10,2,490,8,1,1,0,27,9483,8,15,3
France,2021-01-26,0,553,5,7,1,0,10,9520,6,2,0
France,2021-02-01,0,553,5,3,1,0,3,9520,6,0,0
Singapore,2021-01-29,0,375,10,1,1,1,7,8899,10,3,0
United Kingdom,2020-12-17,8,859,4,1,1,0,188,15748,4,59,9
United Kingdom,2020-11-28,1,859,4,1,1,1,6,15748,4,3,0
Taiwan,2021-01-16,2,500,7,1,1,0,99,9189,9,17,3
Canada,2021-01-31,0,2067,3,1,1,0,290,37914,3,71,5
United States,2021-01-03,1,12384,1,1,0,1,3,233503,1,0,0
Canada,2020-12-21,1,2067,3,3,1,0,13,37914,3,12,4
France,2021-01-20,0,553,5,3,1,0,3,9520,6,0,0
Canada,2021-01-09,0,2067,3,3,1,0,12,37914,3,6,0
Singapore,2021-01-27,3,375,10,1,0,0,2,8899,10,2,0
Spain,2020-11-12,2,536,6,1,1,1,0,9491,7,0,0
China,2021-01-21,2,490,8,1,1,1,10,10181,5,7,1
United States,2020-12-13,2,12384,1,1,0,1,3,233503,1,0,0
India,2020-12-13,0,2687,2,7,1,1,3,51189,2,2,0
Spain,2020-12-06,2,536,6,1,1,0,95,9491,7,35,5
Canada,2020-11-10,2,2067,3,1,0,0,0,37914,3,0,0
Singapore,2021-02-23,0,375,10,1,1,0,12,8899,10,6,0
Spain,2020-11-08,4,536,6,1,1,0,30,9491,7,15,4
Germany,2021-01-15,4,490,8,1,1,0,136,9483,8,25,3
Germany,2021-01-27,0,490,8,1,0,0,1,9483,8,0,0
United States,2020-12-07,0,12384,1,3,1,0,14,233503,1,8,1
Canada,2021-02-11,0,2067,3,1,1,1,7,37914,3,6,0
India,2020-12-28,8,2687,2,1,0,0,5,51189,2,2,0
Germany,2020-11-30,3,490,8,1,1,1,7,9483,8,6,2
India,2021-02-04,0,2687,2,1,0,1,3,51189,2,0,0
Italy,2020-12-14,1,386,9,1,0,0,1,7897,11,1,0
United Kingdom,2020-12-21,6,859,4,1,1,0,175,15748,4,63,5
Germany,2020-12-01,2,490,8,1,0,1,3,9483,8,0,0
United States,2021-02-20,0,12384,1,1,1,1,22,233503,1,10,1
Canada,2021-02-13,0,2067,3,7,1,0,5,37914,3,0,0
United States,2021-01-07,1,12384,1,1,0,1,3,233503,1,0,0
Singapore,2021-01-20,4,375,10,1,1,0,124,8899,10,57,7
United States,2020-11-11,70,12384,1,1,1,0,769,233503,1,296,34
Taiwan,2021-01-06,2,500,7,1,1,1,8,9189,9,8,0
France,2020-12-21,3,553,5,1,1,0,91,9520,6,48,4
United States,2021-01-28,0,12384,1,3,1,0,1,233503,1,1,0
Canada,2021-01-12,2,2067,3,1,1,1,58,37914,3,41,4
Italy,2021-01-21,2,386,9,1,1,0,76,7897,11,32,2
Canada,2021-01-03,10,2067,3,1,1,0,388,37914,3,122,14
Germany,2020-12-12,0,490,8,1,1,1,3,9483,8,0,0
United Kingdom,2021-01-20,5,859,4,1,1,0,131,15748,4,29,2
Taiwan,2020-12-12,5,500,7,1,1,0,91,9189,9,29,5
United States,2020-11-27,22,12384,1,1,1,1,154,233503,1,68,2
United Kingdom,2021-01-26,5,859,4,1,0,0,3,15748,4,2,0
Canada,2021-02-06,0,2067,3,1,1,0,229,37914,3,61,2
Singapore,2020-12-22,0,375,10,1,1,0,83,8899,10,10,0
Canada,2020-12-16,12,2067,3,1,0,0,16,37914,3,7,0
France,2021-01-03,0,553,5,7,1,1,2,9520,6,1,0
United Kingdom,2020-11-22,1,859,4,1,1,1,5,15748,4,2,1
United States,2020-12-15,114,12384,1,1,1,0,2627,233503,1,893,93
Germany,2021-01-08,0,490,8,2,1,0,4,9483,8,0,0
United States,2020-11-17,1,12384,1,3,1,0,5,233503,1,4,1
India,2021-01-09,0,2687,2,1,0,1,5,51189,2,5,0
India,2020-11-20,5,2687,2,1,1,1,35,51189,2,9,1
Singapore,2021-02-04,0,375,10,2,1,0,1,8899,10,0,0
United States,2020-11-30,0,12384,1,3,1,1,7,233503,1,0,0
France,2020-11-30,0,553,5,1,1,1,7,9520,6,5,1
Germany,2020-11-24,3,490,8,1,0,0,0,9483,8,0,0
United Kingdom,2020-12-25,1,859,4,1,0,0,0,15748,4,0,0
Spain,2021-02-04,0,536,6,1,1,1,5,9491,7,0,0
United Kingdom,2021-01-02,1,859,4,1,0,1,9,15748,4,2,0
United States,2021-01-24,3,12384,1,1,0,1,18,233503,1,3,2
Spain,2020-12-15,1,536,6,1,0,1,0,9491,7,0,0
United States,2020-12-29,3,12384,1,1,0,1,0,233503,1,0,0
Germany,2021-01-05,0,490,8,1,0,0,1,9483,8,1,0
Canada,2020-11-24,7,2067,3,1,0,0,2,37914,3,1,0
